"original","country","type","idREZE","department","apYear","apSerie","apID","date","journal"
"Sénégal, NAT, 2020X 029744, 014","Sénégal","NAT","2020X029744",14,"2020X","029","744",2021-08-05,"0180"
"Maroc, NAT, 2021X 006046, 092","Maroc","NAT","2021X006046",92,"2021X","006","046",2021-08-05,"0180"
"34500, EFF, 2020X 034198, 034","France","EFF","2020X034198",34,"2020X","034","198",2021-08-05,"0180"
"34500, EFF, 2020X 034198, 034","France","EFF","2020X034198",34,"2020X","034","198",2021-08-05,"0180"
"Maroc, NAT, 2020X 034198, 034","Maroc","NAT","2020X034198",34,"2020X","034","198",2021-08-05,"0180"
"Algérie, NAT, 2021X 304030, 094","Algérie","NAT","2021X304030",94,"2021X","304","030",2021-08-05,"0180"
"Algérie, NAT, 2021X 005714, 094","Algérie","NAT","2021X005714",94,"2021X","005","714",2021-08-05,"0180"
"Maroc, NAT, 2021X 006430, 075","Maroc","NAT","2021X006430",75,"2021X","006","430",2021-08-05,"0180"
"Togo, NAT, 2021X 302583, 062","Togo","NAT","2021X302583",62,"2021X","302","583",2021-08-05,"0180"
"67200, EFF, 2021X 302581, 062","France","EFF","2021X302581",62,"2021X","302","581",2021-08-05,"0180"
"Togo, NAT, 2021X 302581, 062","Togo","NAT","2021X302581",62,"2021X","302","581",2021-08-05,"0180"
"Cameroun, NAT, 2021X 304077, 037","Cameroun","NAT","2021X304077",37,"2021X","304","077",2021-08-05,"0180"
"Bulgarie, NAT, 2020X 020280, 038","Bulgarie","NAT","2020X020280",38,"2020X","020","280",2021-08-05,"0180"
"38700, EFF, 2020X 020280, 038","France","EFF","2020X020280",38,"2020X","020","280",2021-08-05,"0180"
"38700, EFF, 2020X 020280, 038","France","EFF","2020X020280",38,"2020X","020","280",2021-08-05,"0180"
"Mali, EFF, 2020X 025800, 035","Mali","EFF","2020X025800",35,"2020X","025","800",2021-08-05,"0180"
"Mali, EFF, 2020X 025800, 035","Mali","EFF","2020X025800",35,"2020X","025","800",2021-08-05,"0180"
"Algérie, NAT, 2021X 302540, 013","Algérie","NAT","2021X302540",13,"2021X","302","540",2021-08-05,"0180"
"Moldavie, EFF, 2020X 007859, 027","Moldavie","EFF","2020X007859",27,"2020X","007","859",2021-08-05,"0180"
"Moldavie, EFF, 2020X 007859, 027","Moldavie","EFF","2020X007859",27,"2020X","007","859",2021-08-05,"0180"
"Haïti, NAT, 2021X 303542, 095","Haïti","NAT","2021X303542",95,"2021X","303","542",2021-08-05,"0180"
"Angola, NAT, 2021X 301233, 037","Angola","NAT","2021X301233",37,"2021X","301","233",2021-08-05,"0180"
"Togo, NAT, 2021X 302582, 062","Togo","NAT","2021X302582",62,"2021X","302","582",2021-08-05,"0180"
"Algérie, REI, 2020X 025985, 075","Algérie","REI","2020X025985",75,"2020X","025","985",2021-08-05,"0180"
"Maroc, NAT, 2021X 005691, 095","Maroc","NAT","2021X005691",95,"2021X","005","691",2021-08-05,"0180"
"Espagne, NAT, 2020X 030816, 092","Espagne","NAT","2020X030816",92,"2020X","030","816",2021-08-05,"0180"
"Turquie, NAT, 2021X 005503, 094","Turquie","NAT","2021X005503",94,"2021X","005","503",2021-08-05,"0180"
"Russie, NAT, 2021X 303262, 069","Russie","NAT","2021X303262",69,"2021X","303","262",2021-08-05,"0180"
"Bangladesh, NAT, 2021X 006160, 095","Bangladesh","NAT","2021X006160",95,"2021X","006","160",2021-08-05,"0180"
"27000, NAT, 2021X 004889, 092","France","NAT","2021X004889",92,"2021X","004","889",2021-08-05,"0180"
"Iran, NAT, 2020X 033140, 092","Iran","NAT","2020X033140",92,"2020X","033","140",2021-08-05,"0180"
"Cameroun, NAT, 2021X 304145, 031","Cameroun","NAT","2021X304145",31,"2021X","304","145",2021-08-05,"0180"
"Cameroun, NAT, 2021X 303684, 075","Cameroun","NAT","2021X303684",75,"2021X","303","684",2021-08-05,"0180"
"Bénin, NAT, 2020X 035017, 078","Bénin","NAT","2020X035017",78,"2020X","035","017",2021-08-05,"0180"
"91010, EFF, 2020X 035254, 091","France","EFF","2020X035254",91,"2020X","035","254",2021-08-05,"0180"
"91010, EFF, 2020X 035254, 091","France","EFF","2020X035254",91,"2020X","035","254",2021-08-05,"0180"
"Bénin, NAT, 2020X 035254, 091","Bénin","NAT","2020X035254",91,"2020X","035","254",2021-08-05,"0180"
"47020, EFF, 2021X 304330, 047","France","EFF","2021X304330",47,"2021X","304","330",2021-08-05,"0180"
"37200, EFF, 2021X 303780, 037","France","EFF","2021X303780",37,"2021X","303","780",2021-08-05,"0180"
"Tunisie, NAT, 2021X 000962, 044","Tunisie","NAT","2021X000962",44,"2021X","000","962",2021-08-05,"0180"
"Kosovo, NAT, 2020X 110696, 057","Kosovo","NAT","2020X110696",57,"2020X","110","696",2021-08-05,"0180"
"Chili, NAT, 2020X 035169,  034","Chili","NAT","2020X035169",34,"2020X","035","169",2021-08-05,"0180"
"Liban, NAT, 2021X 005037, 075","Liban","NAT","2021X005037",75,"2021X","005","037",2021-08-05,"0180"
"95600, EFF, 2021X 006199, 095","France","EFF","2021X006199",95,"2021X","006","199",2021-08-05,"0180"
"Tunisie, NAT, 2021X 304061, 060","Tunisie","NAT","2021X304061",60,"2021X","304","061",2021-08-05,"0180"
"75014, EFF, 2021X 301675, 075","France","EFF","2021X301675",75,"2021X","301","675",2021-08-05,"0180"
"Tunisie, EFF, 2021X 301675, 075","Tunisie","EFF","2021X301675",75,"2021X","301","675",2021-08-05,"0180"
"Tunisie, NAT, 2021X 005488, 092","Tunisie","NAT","2021X005488",92,"2021X","005","488",2021-08-05,"0180"
"Bénin, NAT, 2021X 304085, 059","Bénin","NAT","2021X304085",59,"2021X","304","085",2021-08-05,"0180"
"Bénin, EFF, 2021X 304085, 059","Bénin","EFF","2021X304085",59,"2021X","304","085",2021-08-05,"0180"
"Turquie, NAT, 2020X 032659, 068","Turquie","NAT","2020X032659",68,"2020X","032","659",2021-08-05,"0180"
"Bangladesh, NAT, 2021X 006014, 075","Bangladesh","NAT","2021X006014",75,"2021X","006","014",2021-08-05,"0180"
"Maroc, NAT, 2020X 035164, 030","Maroc","NAT","2020X035164",30,"2020X","035","164",2021-08-05,"0180"
"Russie, NAT, 2021X 303897, 057","Russie","NAT","2021X303897",57,"2021X","303","897",2021-08-05,"0180"
"Roumanie, NAT, 2021X 303859, 057","Roumanie","NAT","2021X303859",57,"2021X","303","859",2021-08-05,"0180"
"Maroc, NAT, 2021X 006148, 054","Maroc","NAT","2021X006148",54,"2021X","006","148",2021-08-05,"0180"
"54100, EFF, 2021X 006148, 054","France","EFF","2021X006148",54,"2021X","006","148",2021-08-05,"0180"
"54100, EFF, 2021X 006148, 054","France","EFF","2021X006148",54,"2021X","006","148",2021-08-05,"0180"
"Sénégal, NAT, 2021X 000859, 015","Sénégal","NAT","2021X000859",15,"2021X","000","859",2021-08-05,"0180"
"Sénégal, NAT, 2021X 304110, 075","Sénégal","NAT","2021X304110",75,"2021X","304","110",2021-08-05,"0180"
"Maroc, NAT, 2021X 006291, 075","Maroc","NAT","2021X006291",75,"2021X","006","291",2021-08-05,"0180"
"10000, EFF, 2021X 303628, 010","France","EFF","2021X303628",10,"2021X","303","628",2021-08-05,"0180"
"Russie, EFF, 2021X 303628, 010","Russie","EFF","2021X303628",10,"2021X","303","628",2021-08-05,"0180"
"Soudan, NAT, 2021X 304040, 092","Soudan","NAT","2021X304040",92,"2021X","304","040",2021-08-05,"0180"
"Algérie, NAT, 2021X 303942, 094","Algérie","NAT","2021X303942",94,"2021X","303","942",2021-08-05,"0180"
"Maroc, NAT, 2021X 001268, 036","Maroc","NAT","2021X001268",36,"2021X","001","268",2021-08-05,"0180"
"Arménie, EFF, 2020X 034330, 059","Arménie","EFF","2020X034330",59,"2020X","034","330",2021-08-05,"0180"
"Mali, NAT, 2021X 302931, 093","Mali","NAT","2021X302931",93,"2021X","302","931",2021-08-05,"0180"
"Sénégal, NAT, 2021X 303366, 057","Sénégal","NAT","2021X303366",57,"2021X","303","366",2021-08-05,"0180"
"Sénégal, NAT, 2021X 003027, 013","Sénégal","NAT","2021X003027",13,"2021X","003","027",2021-08-05,"0180"
"59800, EFF, 2021X 101952, 059","France","EFF","2021X101952",59,"2021X","101","952",2021-08-05,"0180"
"59800, EFF, 2021X 101952, 059","France","EFF","2021X101952",59,"2021X","101","952",2021-08-05,"0180"
"Guinée, NAT, 2021X 101952, 059","Guinée","NAT","2021X101952",59,"2021X","101","952",2021-08-05,"0180"
"59800, EFF, 2021X 101952, 059","France","EFF","2021X101952",59,"2021X","101","952",2021-08-05,"0180"
"Guinée, NAT, 2021X 303620, 078","Guinée","NAT","2021X303620",78,"2021X","303","620",2021-08-05,"0180"
"Guinée, NAT, 2021X 304065, 050","Guinée","NAT","2021X304065",50,"2021X","304","065",2021-08-05,"0180"
"Guinée, NAT, 2021X 301767, 069","Guinée","NAT","2021X301767",69,"2021X","301","767",2021-08-05,"0180"
