"","original","country","type","idREZE","department","apYear","apSerie","apID","date","journal","filename","processDate"
"1862","Maroc, NAT, 2021X 003763, 075","Maroc","NAT","2021X003763","075","2021","003","763","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1863","Algérie, NAT, 2020X 031351, 075","Algérie","NAT","2020X031351","075","2020","031","351","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1864","92150, EFF, 2020X 109485, 095","France","EFF","2020X109485","095","2020","109","485","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1865","Tunisie, NAT, 2020X 109485, 095","Tunisie","NAT","2020X109485","095","2020","109","485","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1866","Maroc, NAT, 2020X 016812, 092","Maroc","NAT","2020X016812","092","2020","016","812","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1867","Algérie, NAT, 2020X 019876, 093","Algérie","NAT","2020X019876","093","2020","019","876","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1868","Tunisie, NAT, 2020X 033251, 092","Tunisie","NAT","2020X033251","092","2020","033","251","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1869","Tunisie, NAT, 2021X 303000, 094","Tunisie","NAT","2021X303000","094","2021","303","000","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1870","91010, EFF, 2020X 029697, 091","France","EFF","2020X029697","091","2020","029","697","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1871","Maroc, NAT, 2020X 031709, 092","Maroc","NAT","2020X031709","092","2020","031","709","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1872","Algérie, NAT, 2019X 035504, 013","Algérie","NAT","2019X035504","013","2019","035","504","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1873","Tunisie, NAT, 2020X 031828, 091","Tunisie","NAT","2020X031828","091","2020","031","828","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1874","Tunisie, NAT, 2020X 028707, 069","Tunisie","NAT","2020X028707","069","2020","028","707","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1875","31500, NAT, 2021X 007483, 033","France","NAT","2021X007483","033","2021","007","483","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1876","97460, EFF, 2020X 027440, 974","France","EFF","2020X027440","974","2020","027","440","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1877","Maroc, NAT, 2020X 027026, 060","Maroc","NAT","2020X027026","060","2020","027","026","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1878","Algérie, NAT, 2020X 032147, 069","Algérie","NAT","2020X032147","069","2020","032","147","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1879","Maroc, NAT, 2021X 006208, 092","Maroc","NAT","2021X006208","092","2021","006","208","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1880","Algérie, NAT, 2021X 301943, 075","Algérie","NAT","2021X301943","075","2021","301","943","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1881","Maroc, NAT, 2021X 003770, 075","Maroc","NAT","2021X003770","075","2021","003","770","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1882","87280, EFF, 2021X 301590, 087","France","EFF","2021X301590","087","2021","301","590","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1883","Algérie, NAT, 2021X 301590, 087","Algérie","NAT","2021X301590","087","2021","301","590","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1884","Algérie, EFF, 2021X 301590, 087","Algérie","EFF","2021X301590","087","2021","301","590","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1885","Comores, NAT, 2020X 028136, 078","Comores","NAT","2020X028136","078","2020","028","136","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1886","Algérie, NAT, 2020X 020461, 092","Algérie","NAT","2020X020461","092","2020","020","461","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1887","Tunisie, NAT, 2020X 033613, 092","Tunisie","NAT","2020X033613","092","2020","033","613","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1888","Algérie, NAT, 2021X 004220, 095","Algérie","NAT","2021X004220","095","2021","004","220","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1889","Maroc, NAT, 2021X 001356, 075","Maroc","NAT","2021X001356","075","2021","001","356","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1890","Maroc, NAT, 2020X 028581, 037","Maroc","NAT","2020X028581","037","2020","028","581","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1891","37200, EFF, 2020X 028581, 037","France","EFF","2020X028581","037","2020","028","581","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1892","Italie, EFF, 2020X 028581, 037","Italie","EFF","2020X028581","037","2020","028","581","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1893","78200, EFF, 2021X 004177, 078","France","EFF","2021X004177","078","2021","004","177","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1894","Tunisie, NAT, 2021X 004177, 078","Tunisie","NAT","2021X004177","078","2021","004","177","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1895","Algérie, NAT, 2020X 018027, 093","Algérie","NAT","2020X018027","093","2020","018","027","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1896","75019, EFF, 2020X 018027, 093","France","EFF","2020X018027","093","2020","018","027","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1897","Maroc, NAT, 2020X 031565, 092","Maroc","NAT","2020X031565","092","2020","031","565","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1898","Algérie, NAT, 2020X 029986, 972","Algérie","NAT","2020X029986","972","2020","029","986","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1899","Maroc, NAT, 2021X 301992, 087","Maroc","NAT","2021X301992","087","2021","301","992","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1900","Maroc, NAT, 2020X 031748, 060","Maroc","NAT","2020X031748","060","2020","031","748","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1901","Algérie, NAT, 2021X 000748, 078","Algérie","NAT","2021X000748","078","2021","000","748","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1902","Maroc, NAT, 2021X 003732, 075","Maroc","NAT","2021X003732","075","2021","003","732","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1903","Algérie, NAT, 2020X 033595, 091","Algérie","NAT","2020X033595","091","2020","033","595","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1904","Etats-Unis, NAT, 2021X 003761, 075","Etats-Unis","NAT","2021X003761","075","2021","003","761","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1905","Royaume-Uni, NAT, 2020X 033504, 034","Royaume-Uni","NAT","2020X033504","034","2020","033","504","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1906","Italie, NAT, 2021X 003382, 075","Italie","NAT","2021X003382","075","2021","003","382","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1907","Belgique, NAT, 2020X 029490, 034","Belgique","NAT","2020X029490","034","2020","029","490","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
